method_name,num_steps,num_groups,num_removes,total_constraints,avg_constraints_per_step,min_constraints_per_step,max_constraints_per_step,constraints_per_step_range,constraints_per_step_std,step_entropy,num_cache_alg_steps,num_free_layer_steps,symmetry_depth,num_symmetry_orientations,total_step_face_overlap_score,avg_step_face_overlap_score,min_step_face_overlap_score,max_step_face_overlap_score,step_face_overlap_score_range,step_face_overlap_score_std,num_zero_face_overlap_steps,fraction_zero_face_overlap_steps,avg_distinct_faces_per_step,min_distinct_faces_per_step,max_distinct_faces_per_step,num_edge_only_steps,num_corner_only_steps,num_mixed_piece_type_steps,fraction_mixed_piece_type_steps,avg_adjacent_step_face_overlap,max_adjacent_step_face_overlap,score
rand_ba7668b2,4,0,0,20,5.0,3,7,4,2.0,1.8813,0,0,1,0,29,7.25,3,13,10,4.38,0,0.0,4.75,4,6,0,0,4,1.0,3.67,4,0.010128
rand_85965ced,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,26,6.5,2,12,10,3.64,0,0.0,5.5,4,6,1,0,3,0.75,4.67,6,0.006599
rand_26beb2fe,4,0,0,20,5.0,4,6,2,1.0,1.971,0,0,1,0,26,6.5,5,9,4,1.66,0,0.0,5.5,5,6,0,0,4,1.0,4.67,5,0.01028
mut_83b5e09f,4,0,0,20,5.0,3,7,4,1.41,1.9406,0,0,1,0,24,6.0,1,12,11,3.94,0,0.0,6.0,6,6,0,0,4,1.0,6.0,6,0.005025
mut_030aae78,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,32,10.67,7,13,6,2.62,0,0.0,5.67,5,6,0,0,3,1.0,5.5,6,0.005469
mut_97fff577,4,0,0,20,5.0,3,7,4,1.41,1.9406,0,0,1,0,26,6.5,3,9,6,2.18,0,0.0,5.25,4,6,0,0,4,1.0,4.67,6,0.007652
rand_af21b011,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,30,10.0,5,13,8,3.56,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.006797
mut_6253d798,4,0,0,20,5.0,3,7,4,2.0,1.8813,0,0,1,0,27,6.75,2,12,10,4.32,0,0.0,5.25,4,6,0,0,4,1.0,5.0,6,0.010138
mut_d95e59e0,4,0,0,20,5.0,2,8,6,2.55,1.8016,0,0,1,0,27,6.75,1,14,13,5.85,0,0.0,5.25,3,6,1,0,3,0.75,4.0,6,0.005118
rand_73fab4f8,5,0,0,20,4.0,3,7,4,1.55,2.2261,0,0,1,0,23,4.6,2,10,8,2.94,0,0.0,5.0,4,6,1,0,4,0.8,4.0,5,0.009753
rand_0c3a9840,5,0,0,20,4.0,3,5,2,0.89,2.2855,0,0,1,0,23,4.6,3,6,3,1.36,0,0.0,5.0,5,5,0,0,5,1.0,4.0,4,0.01055
rand_ca16fb53,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,5,8,3,1.12,0,0.0,5.5,5,6,0,0,4,1.0,5.0,5,0.008198
mut_20654c2e,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,26,6.5,3,11,8,3.57,0,0.0,5.5,5,6,0,0,4,1.0,5.0,5,0.007644
rand_44df08ec,5,0,0,20,4.0,3,6,3,1.26,2.2527,0,0,1,0,21,4.2,2,8,6,2.71,0,0.0,5.4,5,6,0,0,5,1.0,5.0,6,0.018075
rand_bc31ba21,4,0,0,20,5.0,3,8,5,2.12,1.871,0,0,1,0,26,6.5,2,12,10,4.15,0,0.0,5.5,5,6,0,0,4,1.0,5.0,5,0.004782
