scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
B F L' B F2 D' U' L R2 D L' R2 U F R F' L B' F' U' R',x2,R2 F U B L' D R',L' U2 L F' U' F,B D2 U2 F' D2 B',U2 L2 U' B' U B L2,U' R2 U2 R U R' U R2,U' F' U B L U L' U' F B',L' B R' U2 L F' L R2 D2 R2 F L' R U2,58
U' B R2 U' R L' F R2 B' L D' U R' U R' D' F' L R2 D' U',x2,R B2 D2 B' R B2,U R' U2 R2 U R',U' B2 U' B U B2,R U R' F U F',R' U2 R U' B U B',F R B' R B R2 F',U' B' R B' L2 B R' B' L2 B2,48
R2 U F2 U2 R2 D R' F2 R2 L' D' B D' F D2 B2 D' R2 L F' D2 F' B,x2,R F' D' L B' R2,U' R F R' F' R',R B' R2 U R U' B,B2 L2 B2 L2,R' U2 R' U2 B' R' B U2 R2,U R' U' F' U F' L F L' F R,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U,58
R' B2 R' B' R2 B2 D2 U' L U L' F D' U' F D2 F2 U B2 L U F',x2,D' R' D' B R D',D' R U' R' D,B2 R B U' R' B,U B L2 B' L2,L' U R' U' L U2 R,F' U B U' F U B',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U2,51
L D2 F' R' L' B' D U' L B2 F D2 R2 B F2 U2 R F' L2 R',x2,L D2 B D R' F2,B F' U B' F,U2 B' U R' U2 R B,L' U2 L F U F',B2 U' B U B2,F' U' L' U L F,U' L' B R' U2 L F' L R2 D2 R2 F L' R U,50
D' L' F2 B D R B' R' L2 U B2 F L' U' B' F' D2 U B D R U2 D2,x2,R F2 D B' D R',F' U2 B' U B F,L2 D L' U L D' L2,U F U F',U B' U B2 U B',U B' U' B U F' B L' B' L F,U B' R B' L2 B R' B' L2 B2 U',51
R2 L F' L2 R' D2 R' L F L2 U2 B L2 U2 R2 U B D2 B' R B D,x2,D2 U R B' D' L' D,U2 F D2 B D2 F',L U2 B L B' L',U' F R' U R F',U' B U2 B2 R B R',U F R U' B U B' R' F',U B2 D F2 D R2 F D B' D2 F D' B' U' U',56
L' U' L2 B2 R2 F' L' B2 F2 U B2 F' U' L' D' R2 L2 B2 F2 U B2 D2 R B2,x2,F R2 B' D' L F',F' U2 F2 D R D' F',L F' L F L2,D R2 F R2 F' D',R' F' U2 F U' R,U L F' L' F U F U' F',B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,53
B L2 R U L' R U' B2 R' D' F D B2 U2 L2 D2 F R B2 R,x2,B L' F' D L R,U R F R' F' R',D' L U L' D,L2 U' B' U B L2,B L' B L B2,U' F2 D' B L B' D F L' U' L F,L' B R' U2 L F' L R2 D2 R2 F L' R,53
B2 L' F' D2 B F R2 L' U R B2 L B2 R U' F' U L2 F2 U2 B2 F' U2,x2,F D' L' R' B' D,B F' U B' F,U' B' U R' U2 R U2 B,L' U L F U2 F',U' R' U' R,L' B' R B' R' B2 L,U B2 D F2 D R2 F D B' D2 F D' B' U' U,51
R' B2 D R' F2 L D' R' B' U R' B D2 L D' F' D' F' U2 L2 D L2 D2 B,x2,U' L2 B U R2 F',R2 U R U' R2,D' B' U2 B D,B D' L U' L' D B',F' L2 B2 L B2 L F,U F R U R' U' R U R' U' F',U' F2 D' L2 U L2 F2 D R2 U' R2 U,53
R' B L2 B' U D' R' D' F' D2 R2 F D' R2 U' F2 R2 F' L2 U2 R D2 U' L' D,x2,D' U2 L R2 B L,B U B2 D' R2 D B,D' R' U R D,R' F U R F',U F R2 F' R2,F' U B U' F U B',U2 L R U2 R' U' R U2 L' U R' U,47
R F2 R F R' F2 U' D2 R B U' R2 D' L' F2 R2 D B U' L2 D' R' L2 B',x2,D' B2 F L D2 B L2,U' R F R F' R',D2 F2 L' F2 D2 R',B' L2 B' L2 B,B2 U2 R B R' U2 B2,L F2 R' F' R F' L',B2 D F2 D R2 F D B' D2 F D' B' U' U,52
