scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
R B' L F L F L D2 L B U B D' F B U F' R2 L' D,z z,L2 D2 R' F2 U R2 D R B' F,B2 L' U L B2,U L U' L2,L' U2 L U2 L2 U L',B' U' R' U R B,R2 D' F2 D R2 B F L U2 L' B' F',44
D' F2 D B' F' D L2 R' B' F' U L' F2 B2 D U L' F2 R F2 B2 R' U' D2 L2,x x,L R' U2 F' L D' L2 F' R' B',L2 D' R D L2,R' U2 R2,U R D' U R U' R' D U2 R',U2 F' L' B' L F L' B L,U' L R U2 R' U' R U2 L' U R',48
B2 U' R B' L2 F2 R2 F L D B F' R2 B D' F2 L2 B' R' U' B' R L' F B',x x,B' D R' B F' L2 U L2 B',L F2 L D L2,U R' U' R,B R' U2 R U2 R B' R U' R',U' B' R' F R B R' F' R,U2 L' U2 L F R U' R' U' F' U' L F' L' F,52
U2 R2 F2 R2 B D2 R' U' D R F2 R' B2 L2 U2 R D2 F2 R2 L',x x y,D2 U' B D' L2 F R' D L,F2 L2 F2 R' B2 R2,D' R' U R D B2,U2 U' L' B2 D L U L' D' L,U R' F' L' F R F' L F,U' L2 D' R2 D' F2 R' D' L D2 R' D L U',54
D F' L' B L U' B2 D2 F D' L' D' F' R' B F' R' F' D2 R' U R2 D B' D',x x,D R' B U L' U2 L2 U' F,U L2 R D L2,R2 U' R2 U' R,U2 U2 B2 D' R D R D' R' D B2,F R2 B' R' B R' F',B L B L' B D2 F' R F D2 B U2,49
F2 R2 F2 D U R' B' R B U D2 B2 R D U2 B2 F2 R' L B F' U2,x x,F2 R F' U R2 D2 L' R' F',L2 D R2 D L2,U' R' U R' U' R2,U2 R2 D R' U R D' R2,U2 F' L' B' L F L' B L,U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,52
F2 L2 R2 D' B' U R2 U2 L U' B2 D F2 B' U R D F2 L' U D,x x,U' F R' D F' U' R2 B' D2,U' L2 R D' L2,D' R U' R' D,R U' R' U2 R U R',U2 B' R' F R B R' F' R,U L U' F R' F' L' F R F' U' L U2 L' U,50
F D' L2 B U L2 U2 L2 B U2 F L U R B' U2 D2 F' D2 R' L' U' R L U',x x,L U L2 B' L B F D B,R2 U L2 D L2,U R2 D R' U' R D',R U' R2 U2 R2 U2 R,B' R' F R' F' R2 B,U2 B F' D' L' D B' F L' U L,46
F' R2 B2 F D F' D' F2 U' R' U' F B2 U' F' R2 D' U2 F' R2 L' D2 L2,x x,L D F' L2 D' B R U2 F2,L F2 L D L2,U2 R' U R U' R2,L' D2 L U2 L' D2 L,L U' R' U L' U' R,U2 B' R B' L2 B R' B' L2 B2 U2,45
R L' D' R2 U' R D L2 B' F' L2 B2 F' L2 B D2 U R' F2 D,x x,F' U' R' F' D' U R F,L2 R2 D L2,R2 U R2 U' R,U B' U' R2 U B F' U2 F,L' B' U' B U L,L2 F2 L B L B' F U2 F2 U B' U B F',46
F D F B L' U D F D U' L2 B U' R2 U2 B2 U' F D2 R2 F R' D2 L,x x,U2 B' F D F L F2 D L,U' L2 R2 D L2,U2 R U' R,U' U' R' U2 R' U R2 U R,B' R' F R' F' R2 B,L' R' D2 L2 F' L' R2 B' L U2 R' F L' U U2,49
L2 F' L' B L2 R F D F' U' F' D U B' F' U B F L2 F2 L B2,x x y,B' R2 D' L' B U' R2 B D R',R U R' U' R',D' R' U R D B2,R' U' R U R' U' R,U R' F R F' U2 R2 B' R' B R',L' B' L U' B2 U' L' B' L2 U' L2 B L U B2 U2,55
F' D' L2 B' D L' U2 B2 L U' R2 F' D F2 U L' R' B D2 B' L' U' B' U2 D',z z,D' B2 R D2 L2 B2 F',U' R B2 R',L' U' L U L2,R' F2 L2 F2 R,U' B' R' F' R B R' F R,U B2 U' R L' B2 R' L U' B2 U2 U2,42
R2 D' U' B U2 D2 B' R L2 B' U' R D U F' D' R2 L2 U F2 B' R',x x,R' F' D2 L' U' L' B F D2,R' U2 L2 D L2,R' U R' U R2,U2 F' L F' L' B' D' F' D B F',U2 B' R' F R B R' F' R,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,54
F' L' F2 D2 L U L R2 F' U' B' L2 U L2 F' R' F R F2 U L U2 R' U B2,x x,U L' B2 R' U2 L R2 B' F',L2 R D' R' D' L2,R' U R2 U' R2,U2 F' L U2 L' U2 F U2 B2 R B2,F U2 F' U' F U' F',U2 L2 U F' B L2 F B' U L2 U',49
D2 B' R2 D2 F2 U' F2 B D F B2 D' B' U' D' F2 D R L' D' R' D',z z,R D' B2 D2 U2 R' D B' F,U2 L' R2 D R2,L' D' U L U L' D,U2 L' U' L U L2 U L',F' U2 F2 U F2 U F2 U2 F',U R' U2 R B L U' L' U' B' U' R B' R' B,53
B2 F R2 U' R D' F R B L' U' L2 F2 B' L2 D R F2 D U',x x,R F L2 D' U2 B' F D' F,R' U2 L2 D L2,R2 U2 R2 U' R2,R' U2 R' U2 R2 U2 R',B' U F U' B U F',U' F2 U' L R' F2 L' R U' F2 U2 U,45
F2 L' D2 B F2 R D' U2 B2 R' U' R U R' D2 U2 B R2 U' L R B2 R B2,x x y,U' F' D2 L2 B' D U L2 F',R2 B2 R' B2 R2,D L U L' D',R' U2 L' B2 L U R' U R2,F U' B' U F' U' B,U' B' U F' U B U2 R B L2 B' R' L2 U F U',51
U F' B R B2 L' R D2 R' D' R L B2 D' L2 B F U' F D U' L U' F B,x x,U' B L U2 L F2 R2 D' B,L2 R D R' D L2,U2 R2 U' R2,U L U' R U L' U2 R',U B' U2 B2 U B2 U B2 U2 B',B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,52
L' B2 F' R F U2 D F L U D F' L' F' L B2 F2 D U B,x x,U L' D R D2 B2 F' D' B',L2 D2 L' F2 L',U' R U R' U R2,U' U2 R' U2 R U2 R2 U R',U2 B' U2 B2 U B2 U B2 U2 B',U' F2 U' L R' F2 L' R U' F2 U2 U2,51
D' B2 R2 L B2 L' R D' F B' L' B U2 R2 L D L U' R' B' L2 U2,x z x,U' F2 R U2 L2 R' B D R2,L' B2 R' B2 L,F2 U' R U R',F2 R' D2 L D L' D R,U' R' F' L F R F' L' F,U B' U2 B L F U' F' U' L' U' B L' B' L,51
R B2 D2 F' L' F2 L2 R2 U L2 B' D' B2 L' D F L R2 F' R' L B D2,x x,B2 L2 B F' R' F' U B L' B2,U' L' B2 L,U R' U' R U R2,U2 R' F' U2 R' U2 R F,U F' L F L' U2 F2 R' F' R F',U' R' F L' U2 R B' R' L2 F' R2 D2 R' L' U,54
B' D' L2 B' R2 B' R' D' R2 L2 D L2 U L2 R2 U' R' U2 B2 D2 L2 B,x z x,L U F2 U2 L2 B' D U2 B',L2 B2 F2 R' D2 B2 L,R2 B2 D L D' B2 R2,U' L F2 L2 U L2 F2 L',L' B L B' U2 L2 F' L' F L',U L U' L' U2 R B' L' B2 L B R' B' U B U2,57
L D F2 L' U F L B' L2 U2 D' R2 B' F R' U' R2 D R U2 F2 R2 U F B2,x x y,L D' U' L D' B U R' D2,F2 D R' D2 F2 L',L U' L',U2 R' U' L' R B2 L,U R' F R F' U2 R2 B' R' B R',F' U2 F U R F' U B U' F U2 B' R' U,50
R B L2 D' R B' L U2 B F' L2 F B2 D2 U2 R' B2 D2 L' B2 R' F2 D2,x x,R F D F L2 D2 R F U2 B,U' L' B2 L,D' L F2 L' D R',U2 U R D' U2 R U R' D U R',U F' L F L' U2 F2 R' F' R F',U' L U L2 D' B' U' B D U L2 U2 L' U,56
F' D U2 R U B L' U2 B L B L' U' L' F' B R U2 F B' D' L2,x x y,R B2 D' L B' F D' B R2,B F R2 B' F',R' U' R U B2,L' U' B2 U B2 L,L' U' B' U B L,L F' L' B2 L2 F B' L' U' F U' F2 L' F B' U',47
B' U' R U2 L U2 B U L D2 B D' L' D2 U2 B F2 U' L2 U,x x y,L D2 B' R2 B U' B L',F2 D' L B2 L' F2,U L' D L' D' L2,R' U R,U' L' B' R B L B' R' B,U,33
R L' U F' U F2 U R2 L' B2 R' F' B2 L U2 B2 F' U2 R2 D F L U',x x,L F' L D2 R2 B L' B2 F',L2 R D' L2,U R U' R,F' L U2 L' U2 F U2 B2 R B2,B' U F U' B U F',U2 B' R B' L2 B R' B' L2 B2 U',45
R2 B R L' U2 B' F2 R U' R2 D2 L2 R' F2 B U R' F2 D' F2 B' L2 F R2,x x y,D U2 L R D' B L' F' L,B2 U F2 D' F2,B2 R' U R U' B2,R' U R U R' U' R,U' R' F' L' F R F' L F,U' F2 U R' L F2 R L' U F2 U' U,48
L2 R' D U' F R2 U D2 F' L R2 U2 D B D L' F2 B' U' L F,z z,R' F D2 U' R' D F' U' B' R,L' R2 D R2,U' L2 U' L U L2,R U' L U R' U2 L',B' R2 F R F' R B,U L2 F2 R' F' R F2 L' F L' U,45
U2 F' B2 D B' R2 F R2 F2 D2 R L2 U B2 U' B L' B' L F2 L' B2 D U R',x x,R D' L' D2 F L' R2 F L U B',U' L2 R' D L2,U' R U' R,U R U' L D' F2 D L' U' R,F' L' B' L F L' B L,U F' L F L' R' F L R' F L' F' R2 U2,52
L' R' B L2 R' D R2 F U L' R2 U2 F B2 R D B2 F2 D' L',x x,D' L' D L' D' F R2 B',U2 L2 D' R2 D' L2,R' U R2 U' R,U' D B2 D' R U2 R' D B2 D',B' R2 F R F' R B,U' R L U2 B U2 B' U2 R' L D F2 D' L2 U2,51
B L2 D2 B' L F D2 F2 U' L' F2 R' B U L2 F' L F U D F B' U,x x y,B' R' D R2 F' D2 U R B',U F2 D' F2,D L U L' D',R' U L' R2 B2 L R',B' U F U' B U F',U R' F R F' B' R F B' R F' R' B2 U',46
R' D' L2 B' U2 L2 B F2 L U2 R B' F2 L' R' D R D2 B2 R' F' L F2 B,x x,B' L' F U2 R2 F2 D' R F,L2 R2 D L2,U2 R U' R,U' B U' F2 U B' U' F2,L' B' U' B U L,U' U' R2 F2 R U F U R U2 R' F' U' F' R U,47
F B' U' D B' F D' U' B2 L2 F2 B' R' D2 U L' F' D2 F2 B,x x,L' U2 F' R2 B2 L' D' U2 F',L2 D R' D L2,D R' U2 R D',U2 B2 R2 B2 L U L' B2 R2 B2,U F' L' B' L F L' B L,U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2,53
U' F2 L2 B2 R2 L2 D' L D' F' U' F2 D' B2 F2 D' R U F' B' U' D F2 U,x x,D F2 U2 R2 B U' L D' B,L2 D L B2 L,B2 U R' B2 R U' B2,R D' U R U' R' D U2 R',U' B' U2 B2 U B2 U B2 U2 B',U2 R2 B2 R F R' B2 R F' R U2 U',52
D2 R' L' F D2 U2 L D R2 F' R U F D B' R B' L U' R2 D2 F L2 F' U2,x x,B' L2 U R2 B U' F' L' F',L' B2 L' D2 L2,R U' R2,B' U' R2 U R2 B,B' R' F R B R' F' R,R2 B2 R F R' B2 R F' R U2,41
B' L' U2 F' D B2 U F' R U D' F R' D2 F D' F D R' U' D' F D' L,x x,R D' B2 F D B' L' U2 L',L2 D' R D' L2,R2 U R2 U' R2,U' U2 B2 D' R D R D' R' D B2,F R2 B' R' B R' F',U2 L2 B L D2 R L F' L' F2 R' D2 B' U,51
R B F L2 D R' F2 R2 D2 L F D2 B2 R U2 L U R' U' B F U2 B,z z,R' F' D B2 U F D' R' U' B',R2 D' L D' R2,D' U' L U L' D,U2 U L D' U2 L U2 L' D L',U B' R B R' U2 B2 L' B' L B',U2 R' D2 L2 F' L2 D2 R2 B' R' U U2,54
L R2 B2 L' R2 B2 L' R2 D' B2 L2 R D' B' U2 F2 L2 B' L' U L' D' R' D F',z z,L U' R U' B D' R2 D,L R2 D' R2,L2 U L2 U' L2,U' L' U2 L U L2 U L,U2 F' L' B L F L' B' L,U2 R' L' U2 R L B U' F U2 B' U F',47
U B' R L' F2 D R2 B' D2 U' F' D2 R2 B L2 D F L2 B' R2 L F' B' D',z z,D' R2 F L' U2 F2 L2 B' F',R2 D L2 D R2,U' L2 U' L U L2,U2 F2 L2 U2 F2 U F2 U L2 F2,F U' B' U F' U' B,U U' B2 D' R2 U R2 B2 D L2 U' L2 U2,50
B F' D' F2 R B' U2 L R B D2 L' U2 R' U' D' R D2 B L' U2 F2 L2,x x,L B2 F2 D F' D2 B' D2 R B2,U' R2 U L2 D L2,U2 R2 U' R2 U' R,U U B' D B2 U' B2 D' B,U' B' U2 B2 U B2 U B2 U2 B',U2 R2 B2 R F R' B2 R F' R U2,52
R' L' D2 F' U' R2 D B2 R' F B2 L2 B F L D' B' F R2 B' U' D',x x,U2 R' F2 U' B L' R2 D',L2 R2 D' L2,U2 R' U R2,R' U2 R2 U2 R2 U' R',B' U F U' B U F',U' U' F2 D' L2 U L2 F2 D R2 U' R2 U2,43
R L' F' D' L' B' F2 L F L' F' B2 D U B' R2 D R' D R,x x y,B' U L' D2 U2 R' B R' F L,F2 D2 R' B2 R F2,R' U R U B2,R' U2 R U2 R' U' R,F R2 B' R' B R' F',U' R2 D L F R' U2 R F' L' B2 D' R2 U,49
R B' F' L2 B' U' F U D' L B2 L R' D' R2 U' B2 D2 U2 R',x x,B2 F L' B2 U' B2 R' B2 F',U2 R2 U L2 D L2,R' U2 R2,U2 L' B2 R D' B2 L2 U' F2 L',B' R2 F R F' R B,U' L' U2 L U F L' U R U' L U2 R' F' U',50
B D B2 F U' F2 R2 D' R2 U F2 D' B R' U' D2 B L' F2 B' D2 U2 L2,z z,U2 F2 R2 U2 F L B2 U B' F,U L' R2 D' R2,L U L U' L2,U2 U2 L2 B' L2 B L B' L B,U2 F' L' B L F L' B' L,F2 L U' R U2 L' U R' L2 F2 L2 U F2,52
D R' U2 R' L' D R2 F2 U' F2 U2 D2 L F2 R' U' B R' L2 D2,x x y,D L' U2 B R2 D R' D2 B' R2,B2 F2 D F2,L' F2 R2 D R2 F2 L,U' B2 L' B2 L' D L D' L,U' L' B' R B L B' R' B,U' B2 L2 B R B' L2 B R' B U2,50
U' F' U' R U2 B2 D F B' R2 D2 L' U F2 R2 D U' L2 D2 F' L' D' F',x z x,U2 R B2 U F' D2 R B2 U' B,B2 F2 R D2 B2 L,R U2 R' F2 U2 F2,R D2 L' U B2 U' L D2 R',L' B' R' B L B' R B,R' F R' B2 R F' R' B2 R2 U',49
R' D2 F2 U' D R2 B' D2 U L2 B' U2 L' U R2 L' B' L D2 B2 L,x z x,F L B U B L' F',B2 F2 R D2 B2 L,L' U' L U2 F2,U2 F' L F L' F' U' F' U F,F R2 B' R' B R' F',U2 U' L' U' B' U' R B' R' B2 L F U2 F',49
F2 D R2 D B D2 U' L2 D' R2 B' F' D' R2 B D U2 R2 F2 B' D' R',x z x,F' L B2 U F2 R2 D',F2 U' B2 D B2,F2 U2 F2 U' F2,L' D' B F' L2 B' F D L,F R B' R B R2 F',U F' D' L B L2 B' L D F2 R U' R' F' U2,48
L2 F R F' D2 L' D' R2 D' U2 R L U B2 F2 L' R2 U' L' D F,x z x,R U' L2 B' F2 L F' L,B2 D2 B2,R' U' F2 U R2 U R',U' L B2 R' F2 R' D R2 B2 L',,U' B F U2 F' U' F U2 B' U F' U2,40
U R' B2 R L2 B L2 D2 U B2 R B U' D R2 L2 D F2 B' U' B2 L D L U,x x y,F R' B U2 B R' D' B F' L',F2 D' R' B2 R F2,B2 U B2,U L' U' B2 U B2 L,L U' R' U L' U' R,F' U2 F R B U' B' U' R' U' F R' F' R,47
B' D F' U' L2 R2 D' U2 F2 R' L' D2 L' R D' F2 U' D2 B' R F2 U2,x x,L B R2 U F' U2 F' R2 D',U2 R2 U L2 D L2,R U2 R' U2 R2,U R2 B2 R' B2 L U2 L' R',B' R' F R B R' F' R,U' F2 U' L R' F2 L' R U' F2 U2 U',49
R U2 B U' D' B D B R2 U L' B2 F' U2 R' U2 D' R D U2 B2 U,x x,B D' F2 L U R2 F D,L2 D L B2 L,R U R' U' R2,B2 R' D' R D B2,B' U' R' U R B,U' B' U' B' U R' B L' B' R U' B2 U L U,45
L2 F' U2 F R' D' U B' U R2 L' B2 F U2 B2 L F' L' U2 F' L U',x z x,D' B2 D U' F R D U2 F',B2 R D2 R2 B2 L,F2 R' F2 R F2,U2 U' L F2 L2 U L2 F2 L',L' U' B' U B L,U' F2 L F L2 B' R' U2 R B U L U F U',50
B2 R' F2 L D U' B U R2 D U2 L2 R' F' R L F L U' L' R2,x x,U B D B2 L' R' B2 D' B,L2 D R D L2,R2 U R U' R2,U U B' U' R2 U R2 B R U2 R',B' U' R' U R B,U' F2 L F R L D' B D R' L2 U' F U' U2,51
L' U2 F' U B2 R' F' B U D F' D' B L F B R' U' B U F' B' L2,x x y,B D B L' R' F R2 F,U F2 D' R' B2 R F2,L U' L' U B2,L' U' B2 U B2 L,R' F' L' F R F' L F,U2 L' B L' F2 L B' L' F2 L2 U,45
B' R U B2 D R2 L' F U2 L' U2 F2 R' B' F2 L F R' F2 D R' F2 B',x x,R' F' L R2 B R2 D' R' B',L2 D R D L2,R U R' U' R2,U R' U2 R' U2 R2 U' R',U' F' L' B' L F L' B L,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,52
U R' F D B' D2 F L F' B2 U' F' L' D2 F D2 F' U R' D' U B,x x,D' F' R F' U' L B' F',U L F2 L',D' L F2 L' D,U R D' R U R' D U R',U B' R' F R B R' F' R,L U' F R' F' L' F R F' U' L U2 L' U',49
B' F' U2 B' R B' L' F2 L U' D2 B2 D2 L B2 L R2 F D2 U' R B,x z x,R2 U' B' L' U' F R' B2 D',L' B2 R' D2 R' D2 B2,F2 L F2 L' F2,L B2 R2 D R2 B2 L',F R2 B' R' B R' F',U B' F' D2 B2 L' B' F2 R' B U2 F' L B' U,50
B2 F2 U B D2 R L2 U' F' B' L' F2 R2 U2 D' B R' B' R L2 U2 D2,x x y,R' F' D B' R B F' L' D F,U2 F2 D' F2,L U2 L' U B2,U' B2 L' B2 L' D L D' L,L U' R' U L' U' R,U R2 U' F B' R2 F' B U' R2 U2 U',47
U' L2 R F2 R2 F' R L' D F2 R2 L2 D B' D2 B F' D F B2,x x,D2 F L F' D' F2 R B' F2,L2 R D' L2,R U R2 U' R2,R' U' R U R,U2 F' L' B' L F L' B L,U2 R' U L' U R U2 F R B2 R' F' B2 U L U',48
R2 B F' U2 F' D' U2 B R' D B F' R2 U L' F2 R L2 D R U2 B D2 R' F,z z,R' F R2 U L2 D2 B L2 F,R' F2 R' D R2,L' U2 L2,U' U2 L2 U2 L' U' L U' L2,F R B' R B R2 F',U L F' L F B' D2 F2 D' F D F D2 B L2,48
U L' R2 F' R' L U' L' D F2 R F2 B2 D2 R U' L B2 U L F U2,x x,B' D' R' D L' R' D2 U B',U2 L' B2 L,,U' R U2 B' R B R2 B' R B,U2 F' L' B' L F L' B L,U R2 B2 R F R' B2 R F' R U2 U2,44
R F' R B' R U F2 L U' R2 D' L F' R2 U2 D2 B' U F L2 F' R2 D',x x,L B2 F' U B U2 R' D' B,U L2 R' D L2,U2 R2 U R2 U' R,F' U F U B' R2 B,F U2 F' U' F U' F',U' L' B R' U2 L F' L R2 D2 R2 F L' R U',49
R2 L2 U2 B D' R F2 D2 F' B L2 U' D2 L D2 B F' L B2 F R B' R,x x y,B R B2 D U' L' R2 D F',B2 F2 D R' D2 F2 L',L' F2 R2 D R2 F2 L,U' L' B2 L R' U' R,U' L' U2 L2 U L2 U L2 U2 L',F2 U R' L F2 R L' U F2 U' U,51
B R' D2 B2 L2 D F2 L2 U' D' F2 L2 U' L' U2 R' F' R' U2 D2 L',z z,F' D B2 L' F' L' R B' R,R2 D R F2 R,U' L2 U' L U L2,U2 U F' U' L2 U L2 F L U2 L',F' U2 F2 U F2 U F2 U2 F',R' L' U2 R L B U' F U2 B' U F' U',53
B' D' U' B2 R U' L F2 U2 R' U2 L R' B F' U F' R2 F2 B' D' U' B',x z x,F' R U2 B R2 U B L B2 L2,U B2 D' B2,R U L' U' L R',U' L' R' U L U2 F2 U R,F U' B' U F' U' B,U' R2 D L2 D F2 L D R' D2 L D' R' U' U',51
B2 L2 D2 F' B' D2 R' D2 B2 L2 B2 R2 U2 B' U' D2 F' B D2 R2 L' F2 L' D' B2,x x y,F R D2 R2 D R' B' L,F2 L2 F2 U' B2 R2,U L' B2 L2 U L',U L' U' B2 U B2 L,B' R' F R' F' R2 B,B' U' B U' B L2 B' L2 F' L2 B L' F L' B',49
R' F' U2 B R' F L2 B2 D U L2 F L' U' F' U R2 B2 L2 D R D' L,x z x,F L U2 B L F' U B2 L',L2 B2 R F2 R2 B2,R U R' F2,L2 D' L U' L' D L2,B' U' R' U R B,U' F' L F U2 B U' F' U B' U2 L' U F,46
F D' R2 U' F' B D2 U2 R D B2 F R L2 F2 B2 R' D B2 F' D' F R2 U,x x,L D' F R D2 L F' D' B,L' B2 L' D L2,D' U' R U R' D,U' U R' U' R U' R' U R2 U R,L' B' U' B U L,U L' U2 L U' R U2 B L' U L B' U2 R' U,52
L2 D F2 D2 L R D2 R' D' R U' D2 L2 D2 F U' L' U D2 R L2 B L',x z x,F2 D' R2 U' B R F D,L' B2 R' B2 L,F2 U' L F2 L' F2,U R2 F2 L F2 L' F2 R2,U' R' U2 R2 U R2 U R2 U2 R',U B' R F' U2 B L' B F2 D2 F2 L B' F U2,52
B U R2 L' U2 D2 L' R2 B F' R' D' R2 F' B' L2 D' R D R2 U R',x x y,F U' L' F' R D B U' F' R2,B F' D2 B' F L2,L U' L' B2 U B2,U B2 R F2 U' L U L' F2 R' B2,,U' L2 B U' F U2 B' U F' B2 L2 B2 U L2 U,48
L' R F R D' U B' F U2 B D2 R2 L' D F L' F B' D2 B' R' B F2 D',x x,R B' U L B2 L2 F' R2 U' L2,L2 R D' L2,R' U R' U R2,U U2 R' U2 R2 U R U R,L' B' U' B U L,U L' U2 L U F L' U R U' L U2 R' F' U,49
L B' D F U2 B' D' F' B U2 R2 B' U R2 B2 D B F R2 D R',x z x,F' L2 U' R2 D R F2 L B,B2 D2 B2,L2 B2 D R' D' B2 L2,U U R' U L' U R' L F2 R2,U2 L' B' R' B L B' R B,B F U2 F' U' F U2 B' U F',48
B2 U D' B' D' L2 D R2 B2 L2 B' F2 D' F2 D2 U' R D L' B2 L F2 L U' F',z z,L F U R' U2 B D' R B',L2 R2 D R2,L' U L U L2,U2 L' U' L U L2 U L',,U2 F2 L U' R U2 L' U R' L2 F2 L2 U F2 U,41
F B R2 U2 L' D L' B F' U' D2 F' B R2 D B' R' L' F' B2 U2 D2 L F,x z x,B R2 F' U R F2 D' B R' B2,B2 F2 D B2,D' L' U2 L D,R' U L' U' L R,U2 R' F' L F R F' L' F,B F U2 F' U' F U2 B' U F' U,45
B' D' B2 L2 D B L D' B2 F2 D2 L' B2 D' L2 D L' U2 F2 U R D',x x y,B' U' F R' U' F2 L B2 R2,R2 B2 U B2 R2,B2 D' R' U2 R D,U L' B2 L,U2 R' F' L' F R F' L F,F' L B' U2 F R' F B2 D2 B2 R F' B U2,47
F R U F' D F2 L D R U' B2 U2 D L2 U2 F2 U' B R' D L R2,x x,D' L2 R B F2 U B2 L B,U L' B2 L,U2 R U R2,U' R U R',B' U2 B2 U B2 U B2 U2 B',U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,46
F' L' D' R2 F2 B2 U' D2 L' D2 B' D2 B' U2 F B' U' F D U R2 D' F2 B,x x,U' L B' D F' L' B2 D F',U' L2 R D L2,D' L F2 L' D,U2 R U' L D' F2 D L' U' R,B' R' U' R U B,U U' F' U' L' U' B L' B' L2 F R U2 R',49
L' R' B D' R2 U F' L' F' B2 U' D' B' U' L2 R' D L' U' B D2 U',x x,R2 D' F' U2 B U2 L' B2,R2 U' L2 D' L2,U' R2 U' R2 U' R,U R' U' R2 U R,B' U' R' U R B,L U' L' B' U' R' F' U2 F U2 R U2 B U,45
F R' L' D2 R' D2 U2 L' U' B F U L2 B F L R2 F B2 D2 R F2 D2 F',x x y,U R2 U' F R D2 U2 B' D2,R2 F2 L' F2 R2,U B2 U' L U L',R2 B2 R U' R' B2 R2,B' U F U' B U F',L2 B U' F U2 B' U F' B2 L2 B2 U L2 U',48
L2 R2 B2 L2 D' U2 F2 B' D R2 B L2 F R U' F B' R' D B2 U2,x x,L B2 D U' F' R B D L',L2 R2 D' L2,R' U R U R2,B2 D2 F D F' D B R2 B,F' L' B' L F L' B L,U2 L' U2 L F R U' R' U' F' U' L F' L' F U',51
D2 F' D2 B' F R F' B' L' F L' F2 D R' U2 B2 U2 R D2 L2 B2,x x,R2 U2 R2 D' F' R' B F,U' L2 R D L2,U' R' U2 R2,U' U2 R U R2 U' R U R,B' R' F R B R' F' R,R2 F2 D2 L2 F' B' D2 R2 F' B' U',45
B2 F2 L' U L' D2 B2 L' U2 L U' L' B' U' L F' L' B D' U L2 R2 U L,z z,B U' L B' R2 B' U B' F2,L R2 D R2,U L,U L U2 L2 U' L U L,B' R' F R' F' R2 B,U2 L F U' F2 D' L2 D L' B L2 F2 B' U2 F' U',46
F' B2 D F L B U2 L' D2 F B D2 F2 U2 D2 L D2 R' D F,x x,D R U2 R B2 F' R D' B' L,U2 L2 D' L2,D R' U' R D',R U2 R' U' R U R',F U2 F' U' F U' F',U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,48
F2 D2 F' B' U' L2 B L D B D' B R2 D' F' U' R2 F B2 D' U R2,x z x,R2 F' D' B2 L' F2 D L2,B F R2 B' F D2,B F2 U' F2 U B',U L2 F2 D' L U' L' D F2 L2,L' B L B' U2 L2 F' L' F L',U' R' F' R' F R' D2 L B' L' D2 R' U',53
F2 U2 R' B2 F D U2 L' B' R2 U2 B F' L2 F2 B' D2 U L2 F',x z x,L' B2 U' F2 R B' U L2,U' B2 D' B2,F' U2 R U R' F,U2 L' U L U' R' F2 R,L' U' B' U B L,F2 D R2 D' F2 L' R' B' U2 B L R U2,45
B2 R' B D R' F U' D' R B2 F' D F U' F' B R F' U F' U F2 U R2,x z x,B2 U' F U' B' L D2 R2,U B2 D B2,U F2 R' F2 R2 U R',F D' L' U L D U2 F',U2 R' U2 R2 U R2 U R2 U2 R',U L2 B2 U' B2 D L2 D' L2 U L2 U',49
R L' F2 D2 F2 U R B' U B F' D' F' B' L D' B' D' R U2 L2 D' B2,x x,L2 U B F' R D B F R F2,L2 D R' D' L2,U2 R2,U' F' L F' L' B' D' F' D B F',U B' R' F R B R' F' R,L U' F R' F' L' F R F' U' L U2 L',50
R2 U' F' U' L' D' R L2 F' U' R F' R' B' D' F' U R' U' B2 U2,x x y,B' D2 F2 U' R' U B' L D2,U2 F2 D' F2,B2 U2 R' U' R U' B2,U L' B2 L,U L' B' R B L B' R' B,B2 L2 B R B' L2 B R' B U2,43
R' B2 R F' L' R U2 F2 R2 U R' D2 R2 L2 U' B2 L F2 D' F R D' U',x z x,U2 R2 B F2 D' U B F2 R',U B2 F2 D' B2,L' U L2 F2 L' F2,L' U L U2 R' F2 R,U2 R' U2 R2 U R2 U R2 U2 R',R2 D L2 D F2 L D R' D2 L D' R' U',50
R U2 D F2 D' R B U B' L D' R2 B2 L' U2 D F R' L2 B2 L' F2 L B,x x y,D2 U F D2 R D' B F D',F2 D F2,U' B2,L F2 D R D' F2 L',F U' B' U F' U' B,U2 U' R2 D' F2 U F2 R2 D B2 U' B2 U2,41
U' L' R2 F2 L2 D B2 L' U2 B2 L F U F' B2 R U2 L2 F2 D2 F' L2,x x y,L R B U R D2 B' F',R2 F2 D2 F2 R2,D' R' U R D,R' U2 R U2 R' U' R,U L' B' R B L B' R' B,U L2 D R2 D B2 R D L' D2 R D' L' U' U2,49
