scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
B L' B L2 F D L2 B' F2 D R' U' L2 F R2 D' L' D B F' D2,x x y,F' R U2 L B' U B F L',R2 B2 U' B2 R2,B2 D L U' L' D',L' R' U' L U' L2 R B2 L2,R' F R F' U2 R2 B' R' B R',L' B' L U' B2 U' L' B' L2 U' L2 B L U B2,54
U2 B R2 D' B' D R' U2 D2 F2 D2 U2 R B2 R2 D2 F D B2 R D2,x x,U F R2 B2 L2 R' U2 F L,L2 D' R D L2,R2 U' R2 U' R,U' F2 L' U' L U F2,B' U2 B2 U B2 U B2 U2 B',U L U' F R' F' L' F R F' U' L U2 L' U2,50
F2 L2 F2 B' D B' F L' B F2 R2 L2 U D2 R' F' R2 L D B,z z,R' U F2 L' D F U' B D F,U' L2 U R2 D R2,U2 L,U2 L2 U2 L' U' L U' L2,B' U F U' B U F',U' B2 R2 U' R2 D B2 D' B2 U B2 U,45
R' U' R L F' L' U' R' F' L D' F2 B' L' U' B U' B' R' L' B' D2 F R' L2,x x y,D B R U R2 D' B' F' D L,F2 L2 F2 R' B2 R2,B2 R' U' R U B2,U U2 L' U R' U' R2 B2 L R',,U2 F U' R B' R' F' R B R' U' F U2 F' U',47
B' R B F L R2 U2 F2 U R2 B U2 D2 F L2 B D' F' B2 D U' F2 R' U R,x z x,L' F' L' R' B2 D R' F R',B2 R2 F2 D' B2 L2,L D' L D L2 U F2,R' F2 L' R U L,F U' B' U F' U' B,U B' U2 B L F U' F' U' L' U' B L' B' L U2,51
F2 L2 D' F' U2 F' D R' F U2 R' U B2 R L2 F R F' U2 R2 L' U' L' R2 B2,x x,D' F D2 F' L' D' B' R2 B2,U L2 R D L2,D R' U' R D',R U2 B' R B R2 B' R B,U2 B' U2 B2 U B2 U B2 U2 B',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,53
R F2 L' U L2 U R F' U2 L' F2 R B2 U' L2 B2 L' D R F U2 F' D' L',x x,R2 U F2 R B R' U2 B' D,U' R2 U L2 D L2,U' R' U' R2,U2 B' U' R2 U B F' U2 F,B' U F U' B U F',U L' B R' U2 L F' L R2 D2 R2 F L' R U',50
U L R2 U2 D' B2 U F2 B2 L2 F2 D2 F2 B R' D' B' U2 F2 D' B2,x x y,D F2 R' B D2 U' L' D R2,F2 D2 R' B2 R F2,U L U' L' B2 U' B2,L' D' R U R2 U' R' D L,L U' R' U L' U' R,U2 F B U2 B' U' B U2 F' U B' U',50
B R' L2 U2 D2 B2 F L' R D F2 D' B2 F R' L D2 L' U2 B2 L' B2 D2,x x y,F D2 U2 B2 L' F',F2 R D R' D2 F2,U L U L' B2 U2 B2,R' U R U2 L' B2 L,U L' B' R B L B' R' B,U' R2 D' F2 U F2 R2 D B2 U' B2 U',47
L2 B R' B R' B D L2 F R' B' F2 R2 U2 D' R' U F' L D U F2 B U2,z z,D F2 D2 F L2 R D R' F',L' U2 R2 D R2,L' U2 L' U L2,U2 F2 D' L' D L F2,B' R' F R' F' R2 B,B L B2 D2 F2 R F2 D2 B U2,43
U F D U F2 D2 R2 U L' R D F2 B' D' U B2 L R F2 B,x x,D2 B2 D R2 F L D L,U L2 D L2,R U' R2,R U' L D' F2 D L' U' R,U B' R' F R B R' F' R,U' L U' F R' F' L' F R F' U' L U2 L' U',48
L U2 R2 L D' F2 D' F2 B' R2 B' D' F B D L F U2 D' R2 B2 D',x x y,D' F' D2 L2 D' B' L' B2 R,U' F2 D F2,U' R' U' R U' B2,U L' U' L U' L' U2 B2 L,B' U' R' U R B,F2 L F L' F R U' B U' B' U2 B' R B R2,49
B2 F' R L' B' R' U D R2 L F2 D F R D' U F B L R' B U D2,x x y,R' D2 F R F2 D F R,F2 D R' D2 F2 L',D' R' U' R D,U' R' U2 R U L' B2 L,B' U' R' U R B,L' U2 L2 R' F2 R F' D F2 D' L2 U' L F,47
R' F D2 B2 L' U R L2 F' B' R' F2 R2 L' D2 R' L U' R2 B2,z z,R2 F' D' B2 R2 U B' R F',U R2 D' R2,U L2 U' L' U L2,U' L U2 L' U' L U L',L' B' U' B U L,B F' L F2 U2 B2 F' R F' D2 F R' B,46
