scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
D R2 L B F L' F' D2 L' F R2 F2 B U' F U2 D B L D2 U' F',x2,F2 U' R2 D R' F,U L R U L' U2 R',R D2 L' D2,L U L',U' L U L' U2 R2,F' L' B' L F L' B L,U2 L R U2 R' U' R U2 L' U R' U',46
F2 U D2 L' D B U' D R2 U' F' R2 L2 B2 L' B' R' U' F' B,x2,L U F' R' D2 F,R2 D R' U R D' R2,U' L' U2 L U L' U' L,L2 U' L' U2 L',U' L' U2 R U L U2 R,F' L' B' L F L' B L,U F' L F L' R' F L R' F L' F' R2 U2,56
R U' D' F B2 U D R U' B2 R2 F2 U2 R U2 L2 R' D2 F U D,x2,B R2 B2 L' D' B' F,R U2 R' U2 R',L' U L2 U' L,U R' D2 L U L' D2 U' R,L2 U L2 R' U R,U' F' L' B' L F L' B L,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2,55
B' D L D2 L2 F' D2 F R2 U' F2 R' D' L' U R L' D R' F R2,x2,B D' U L' D' F',U L U' R U L' U2 R',U2 L R' D2 R D2 L',L2 R' U2 L' U L',U' R U' R,R U R' U R U2 R',U' L' B R' U2 L F' L R2 D2 R2 F L' R,52
F B L2 D2 L' U R D' F2 D F2 L' R' U2 D F2 L F2 R2 U' D2 L U2 L,x2,R U L2 B' F',U2 L' U' L R',R2 U L' U' R U2 L R,U R U L' U L',,R' U' R U' R' U2 R,U' L R U2 R' U' R U2 L' U R' U,43
F' U L2 R' F2 B2 R B2 L2 B U2 B2 R2 D2 U B' U' D R' F2,x2,U2 B2 L2 D' B' L' F',D2 L2 U R D2 R,L U L2 U L2,R' D2 R U' R' D2 R,L2 R' U2 R,F' U B U' F U B',U' L U' F R' F' L' F R F' U' L U2 L' U,51
R' L' B2 U2 L2 F2 L2 F U L2 R' D' F R' D' R' D R2 F2 D' L2 B' R' F',x2,L' D' R2 F,R U2 R' U' R',D2 L2 U R D2,L U L',U2 R' U2 R U R' U' R,U2 R' F' R B' R' F R B,L' U2 L F R U' R' U' F' U' L F' L' F,48
U' L' D L' U2 D2 F B' R2 D F L U' D R' D2 R D2 L' B,x2,U2 R2 D' R F',U2 R U2 R',R U' R' U' L' U' L,U' L',U2 R2 U R U' R,U' F2 D' B L2 B' D F U2 F,L' B R' U2 L F' L R2 D2 R2 F L' R U,48
D2 F' U B D2 B D2 F' L' D' U' F' D L F' R2 L U' D' F R U F' D L,x2,L2 F2 D F2 R' B',U2 R U R U2 R2,R' D U R U R' D',U2 L U L2,R' U' R U' R' U' R,B' U2 F' B U L2 U L2 U' L2 F,F2 L2 U' L2 D F2 D' F2 U F2,51
B F R B' U' L2 R D' L B2 L' F U' D R U2 L D U2 B' L R B2 D2 B2,x2,F' L' R B' D U B',D2 U' L R U L' R' D2,L' U2 L2 U L2 U' L,U R' U L2 U' R U L2,U R D2 L D2 R',U R' F' R B' R' F R B,U' U' F2 D' L2 U L2 F2 D R2 U' R2,57
D' L' D' B L2 B' U' F2 U D2 F R' U F R F R U' R2 B2 D B',x2,U' B R F' U' B,R U R U R',U' L' U' L' U2 L2 U' L,D' R' U2 R D,R' U2 R U R' U' R,B' U2 F' B U L2 U L2 U' L2 F,U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,56
D2 F' R' L F2 U L' D B' F' R' U' R2 F' R2 F2 D U2 B F2 D' R2,x2,R F' R2 D' U B',L2 U R' U R',U L D2 R' U2 R D2,U L U' L',L2 D' R D' R D R2 D L2,B U' F' U B' U' F,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',51
D B2 U' L' B2 L R' D2 U' R U' F B2 D' F' D2 F2 L R' U' L2,x2,B2 F D F' R D,R2 U' R' U R',D2 R2 U' R2 D2 L2,L R' U2 L' R,U2 R' U' R U' R' U' R,U R' F' R B' R' F R B,R2 F2 D2 L2 F' B' D2 R2 F' B',49
F2 L F2 B U D L R' B2 F L' D U' B L D' B' L' D F2 U' F' L2 R U,x2,U F L F2 R' D' B',U L' U' R',L' U2 L,D' R' U' R D,R' U R,U2 F' U2 F2 U F2 U F2 U2 F',R' D B2 L2 D L' F2 L D' L2 B2 D' R,45
L U' B D2 F' U' F2 B' D' F2 B' L2 U B F' U2 B R' F L' F2 D L,x2,D L F U B' F' D,U L2 U2 R U' R2,D' L U' L' D,L U2 L',L' D' R' U R D U' L,B' U2 B U B' U B,R2 B2 R F R' B2 R F' R U2 U2,47
F' B U2 L2 R' D2 R2 U D2 R' F2 R' U' B2 R L' D' U R2 F2 L2 D' L,x2,D' L' B2 F R' B',U R2 U' R U2 R U2 R2,D2 R' U2 R D2,L' U R' U2 L',U2 R' U' R U R' U2 R,U2 R' F' R B' R' F R B,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,57
B' F' D' U2 B2 D L' F2 L' F2 U' F L' F2 R' F' D2 B L R2 D' L,x2,F U' L' R' D' B',R U2 R',L2 R U' R U2 L,L U L',R' U2 R U' R,U2 F' L' B' L F L' B L,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U,45
U F2 B2 U L' U2 B2 L' F' B' D F L2 B' U2 F2 B2 L2 B U2 B U F' D',x2,B' F2 L2 D F',R U2 L' U' L R',,U L' U2 L2,U L' U2 R' D2 L' D2,U' F2 D' B L2 B' D F U2 F,U L' R' U2 L R F U' B U2 F' U B' U2,46
U F B D2 U R L' U2 R D' F' D F2 B2 D' U2 R L F' B U' F2 R B2,x2,U2 F' U' L' U' B,U2 R U2 R' U' R U2 R',U' L U' L U L,D' R' U R D,D' R U R' D R',U' F2 D' B L2 B' D F U2 F,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U2,54
