scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
L2 R U R2 D2 F' B' L' R B' L2 D2 R' F2 R F D2 R F2 R' F2,x2,L F D2 B' L D',U L2 U' L U L2 U2 L,L' R' U2 R',D' R' U R D,U L U L',F U' B' U F' U' B,R' D B2 L2 D L' F2 L D' L2 B2 D' R U',48
D' R F' D2 L' B2 R D' F D2 L' U' F' B' D2 U B' F' L' F,x2,L2 B D F R F',U' L,U2 R2 U R',D U L U' L' D',U2 L U2 L' U L U' L',B U' F' U B' U' F,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U,48
L2 F2 R2 B' D' U2 F2 R' F2 R U2 L D' U B U' D2 R F D R' L' F B D2,x2,B' U2 R B' D',L2 U L,L2 U L' U2 R U' R2,U2 R' D2 L U L' D2 R,U R' U L2 U' R U L2,B U' F' U B' U' F,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U,53
F2 L2 B2 U' F2 U' D' B L' R' U2 F D' R L F' D' L2 D' L2 R2 D2,x2,D' F' D2,L' U2 L U' L,U2 R' U2 R',R2 D' R U' R' D R2,U2 L R' U2 L',R' U' R U' R' U2 R,U2 R2 B2 R F R' B2 R F' R U2 U',43
B R' B D' L B2 R' D' F' D U2 F2 U R2 B U' R2 B U' R' D' R D F' R,x2,B R' D' B' L' D,U L' U2 L U L' U2 L,D' L' U L D,U' R U2 R2,U' L2 U' L2,U2 F' L' B' L F L' B L,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U,51
L2 D2 F2 D' B L2 U2 R' U' R' B2 L' D2 L R2 B D R2 B' F U2 D B L U2,x2,L' U F2 R D' B' F,U L' U' L,L2 R U2 L' U' R',L' U' L R2 U' R2,U R' U L2 U' R U2 L2,F' L' B' L F L' B L,U' L' R' U2 L R F U' B U2 F' U B' U2,53
L2 D U L' F U' L D2 U F' B U' F2 U2 B2 L D2 B R2 L U,x2,B D R' D F' D',L2 U' L' U L2,R2 D R' U R D' R2,D2 L U2 L' D2 R2,L2 D L' U L D' L2,U2 F' L' B' L F L' B L,U L' U2 L F R U' R' U' F' U' L F' L' F U,56
R U' D' F L R' D2 B R F2 B R' F2 D2 U L' F' R2 D2 U2 F' R D' L,x2,L' R' B D F,U' R' U L' R U L,L2 U' R' D2 R2 D2,R' U R U2 R' U' R,U R' U2 L' R,R' F' R B' R' F R B,U R' U L' U R U2 F R B2 R' F' B2 U L U,54
L' D2 R2 L' F D' L' R F2 R' U' D2 B D2 L D' U F2 L R2 D L D2,x2,D R' F' L D2 B' D,R' D U R U R' D',U R' U2 R2 U R2 U R,U' R' U R' U2 R,L' R' D2 R D2,R' F' R B' R' F R B,U' L' B R' U2 L F' L R2 D2 R2 F L' R U,56
U' F' L' U D2 B' R L2 F' R U D2 F' R F2 D' L2 R F' B L' F D2 B',x2,D R2 F L D' F',R U' L U L2 R' U L,L U2 L2 U R2,R' U L U L' U R,U' L2 U2 L' U' L U' L2,F U' B' U F' U' B,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',56
D' U B' L2 B2 R' L B' D' L' U' D' B U' F' D' L' U' R2 U',x2,B' L D R' U' F,U2 L' R U2 L,R U2 R2,U2 R' U' R,D' L U L' D' R D2,F U' B' U F' U' B,U U' F2 D' L2 U L2 F2 D R2 U' R2 U,45
L B' R2 U' B F2 R' F2 D2 B L2 U2 B' R2 B U L' B F2 D' F2 U D',x2,L U F2 L D' B' D',U' L' R2 U L U' R2,R U' R2 U2 R',U R' U' R,U' R' U L2,F U2 F' U' F U' F',U F' L F L' R' F L R' F L' F' R2 U,48
R' U B L2 U2 D' B' R F B2 D F L' F' D2 L2 U2 B2 L2 U B' R2 D2,x2,B D B R D' F,U2 L2 D' L U' L' D L2,L U' R U L' U2 R',R2 U R2 U' R,L U' L2 U' L2 U' L2,F2 D' B L2 B' D F U2 F,U2 F2 L2 U' L2 D F2 D' F2 U F2 U,54
F2 D' B2 U B' R' L2 U' B D' L' U2 F' B2 U R B D B2 R' F2 B' D2 B' L2,x2,R B2 F R D' U B',L' U2 L U L' U2 L,R U' L' U2 L R',L' U L R2 U R2,L' D2 U R U' R2 D2,U' R' F' R B' R' F R B,U' R' U L' U R U2 F R B2 R' F' B2 U L U',58
L' F' R' F' D R2 F2 B2 L B U2 D2 F2 D2 U2 B2 L2 R' U' R2 F2,x2,R' D L' R' F,L2 D' L U' L' D L2,D2 R U L2 D2,R2 U2 R2 U R2 U R2,U' R' U2 L' R,B U' F' U B' U' F,U' B2 D F2 D R2 F D B' D2 F D' B' U' U2,51
F2 R' U' B L2 R U' L' F' B D' U' R B2 D U2 F' D2 R' D' R L2 D' F2,x2,B2 L2 F U' R' B' D,L D R U R' D' L,R2 U2 R' U' R U' R2,R U' L R2 U L' R,R' D2 U L U' L' D2 R,F' U B U' F U B',U L U' F R' F' L' F R F' U' L U2 L' U',58
D' U2 B' F' D2 L F2 L2 U B' R2 L D' B F' L2 R2 B2 U2 L F' R' D2,x2,U' L' R D' B' L' F',U' L' U2 L U L' U' L,R U' R' U2 R U2 R',U2 L2 U' R2,R U' R' U L2,F' U B U' F U B',U' B' R B' L2 B R' B' L2 B2 U',49
L' U D' L' U2 B2 F' R2 L2 B L' R' U L' D' U2 B' R F L' F' L2 F',x2,U2 B R' D F D2,L' U L' U2 L2 U' L,L' U2 R D2 L' D2,U2 L U' L2 R' U R,L U2 R U' L' U R',U F2 D' B L2 B' D F U2 F,F2 L2 U' L2 D F2 D' F2 U F2 U,54
R' L2 D' B' R' F L R' U2 B' D R L U' L' F2 R2 L' F' R2 U' L2 R U F',x2,L2 B L' U' R B' F',L2 U' R' U R U' L2,L' D2 U R' U2 L' D2,U' R U2 R2 U' R2 U' R',R' D2 L U2 L' D2 R,U2 F' U2 F2 U F2 U F2 U2 F',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,61
D' R' F U' R L' B L' U2 R D2 U2 F2 D' B' F2 U R U R L' U2,x2,B F' D L' F' D,L' R D2 R' D2,R U R',R' U' R' U' R,L U' L',R U R' U R U2 R',R2 B2 R F R' B2 R F' R U2 U2,40
U2 B2 F D2 F2 B2 L2 D B F2 D' U R2 D2 R' B D B' L B' L',x2,R U' L' D' R B',D' L' U L D,R' U2 R U2 R',U R' U' R,U' L' U2 L' D2 R' D2,U2 R' F' R B' R' F R B,L U' F R' F' L' F R F' U' L U2 L',49
U' D' R L U2 R D' U' R2 B2 U2 F2 B2 U R2 L' D' B L R U' F2,x2,L B' U2 F2 U R B',R2 U' R' U2 L2,R U2 R U' R2,L D2 R' U' R D2 U L',U' L U L',B' U2 B U B' U B,U2 R' U L' U R U2 F R B2 R' F' B2 U L U',52
L' D2 L2 R B L2 R2 D' F' L R' D B R2 D2 B' D2 R F2 L' U L B' F2 L',x2,U F L R D' F',L2 U' L,R U R',R' U' L2 R U R,U R U' L U R' U2 L',F2 D' B L2 B' D F U2 F,U' L' R' U2 L R F U' B U2 F' U B' U2,49
U' D L' U2 R' F R' B2 U2 R' D L2 U2 R U B' F2 U2 F' R' L' U2 D2,x2,B2 U2 R U B' L' F',U2 L' U2 L,R U2 R D2 L D2,U R' U' R,L' D' L U' L' D L,U' F' U2 F2 U F2 U F2 U2 F',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U,53
D R' B' D' F' R2 L' B U' L' F' B2 L' B2 U2 L' B L' F' L' R',x2,B U R' F D2,U' L' U2 L U2 L' U2 L,L D2 R U2 R' D2,U L U R U R,L2 D' L U L' D,B' U2 B U B' U B,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U2,53
D2 L' D2 B2 L D2 U2 L U' L' R' D2 B' D B' R B2 D' U' B2 U',x2,F2 R2 B' D' B',U2 L' U' L U L' U' L,L' U2 L U R U R',R2 U R' U' R2 U R2,R' U L2 U L',U F2 D' B L2 B' D F U2 F,U2 B' R B' L2 B R' B' L2 B2 U2,53
R2 L B' F L2 D' R2 B' L R' F2 R' B2 F2 D R U D' R D2 F2 D2 F,x2,F2 D' L B' D' F,L2 U L R' D2 L' D2,R U2 R' U2 R U2 R',U' R' U2 R U R2,D' R' U' R D,U' F' L' B' L F L' B L,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U,55
R2 B' F U' B2 F2 L' R2 U2 L2 F' U' F' D R D' B R' F' R,x2,B' F U' R D' B',D L U' L' D' L2,L D' L' U L D L',L U' R U L' R2,L U2 L',B' U2 F' B U L2 U L2 U' L2 F,,39
R2 L' B2 D' U R D' R U2 F2 R F' R' L2 F R' F L2 D2 F D2 R' L2 D',x2,L2 D F2 U' R B',D' L U L2 U' L D,U' L R U' L' U2 R',R2 D2 L' D2 U' R2,R' D2 R U R' D2 R,F U' B' U F' U' B,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,56
L' B' U2 L2 B' R' F' D L' U2 L2 F' B2 D2 U2 L B' L U' R' L' B R,x2,F' L B' R2 D' B',L' U' L U' L' U' L,R U' R U2 R' U2 R2,R' U' R U R' U2 R,L' R U' R' U' L',F U' B' U F' U' B,U' R' U L' U R U2 F R B2 R' F' B2 U L U',56
D2 R2 F' L' D' R' B2 F' L U' R2 U R2 L' D B' R B2 U B' R B' D' L2,x2,F L2 B' L D' B' F,U' L2 U2 L U L' U L2,L2 U' L D2 U L' D2,U' R' U2 L' U L R,U2 L' R' U' L' R,U' R' F' R B' R' F R B,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2,58
B2 F' L' U L' D L2 U B D' B L D' U2 B2 F R F' U2 R2 B U' B' F,x2,F' R' B' L2 D' R2 B',R' U2 R U L' U' L,U2 R2 D2 L D2,U L D2 L' U' L D2 L',U2 L U L' U L',F U' B' U F' U' B,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,55
R2 F2 B2 R L2 B' L' R' B F R D' B' L F R2 U2 D2 R' L',x2,B2 L U2 R2 F' D' B',U2 L' R U L R',L D U' R U R' D' L',U' R' U2 R U2 R2,U' L' U' L2,U2 R' F' R B' R' F R B,U F' L F L' R' F L R' F L' F' R2,53
U D2 R2 D2 F2 L2 U2 D' B' L F' D2 B2 U2 B2 L2 D' U L D' B R2 F2,x2,D2 U R F D U' B',D2 U R' U' R D2,D2 U' L' U L' D2,U L D2 L' U' L D2 L',L' U' L',F' L' B' L F L' B L,U' B' R B' L2 B R' B' L2 B2 U2,49
B' F2 U' L2 R2 B' L2 B2 U D R L B L2 B2 L2 U' L U B' U2,x2,D U' F L R B' D,U L' U2 L,D2 U' R' U2 L' R' D2,R' U2 R,L U' L2 U' L2,U F' U2 F2 U F2 U F2 U2 F',U U' F2 D' L2 U L2 F2 D R2 U' R2,48
U B' F2 U' R2 L D L' U' F L2 R' D2 F B D B L R2 U B2 L2 D F2 R',x2,B D' U' L' B' D',U2 L' U' L U L' U' L,D R U2 R' D',L2 R' U' R U' R,U L' U' R2 U' L' U R2,F' U B U' F U B',U B2 D F2 D R2 F D B' D2 F D' B' U' U2,55
F R2 U' B2 R2 L U L U' B2 R2 U2 L F' D U R' D B R F',x2,R2 B D' F R' D' B',U2 L R' U2 L,L2 U' R' U L2,L' D' R' U R D U' L,U L U L',B' U2 F' B U L2 U L2 U' L2 F,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',53
R' L D B' F R L2 U' F' L U' R2 D U2 L2 B2 R2 U R2 D F2,x2,R B' L' R2 F' D B',U2 L U2 L2 U' L2 U' L',R U L' U' L R',U' L R' U' R2,U' R U2 L2 R',R U R' U R U2 R',R' U L' U R U2 F R B2 R' F' B2 U L U',53
D2 L B2 R2 B U F' D' F' L' R D2 L' U2 L U L' R' B D' R,x2,B F2 D U F' D,L U L' U L U' L,L U' L2 U' R',U' R' U' R U R' U2 R,U L D2 R' U' R D2 L',U2 F2 D' B L2 B' D F U2 F,L U' F R' F' L' F R F' U' L U2 L' U',58
U' D2 R' L2 F' D' R D' R2 B2 R2 B D B' L F2 L' U' L' R2 D F U',x2,B L B R D' B',D2 L2 U2 R D2,U R' U2 R2,L' D' R' U R D U' L,U2 L U' L',F' U2 F2 U F2 U F2 U2 F',U' B' R B' L2 B R' B' L2 B2 U',47
B F2 U' L' F2 B' R2 D' B R2 B2 L R B' R2 B2 L2 F2 B2 R' L,x2,R2 F R D' B2,D2 U2 R' U2 R D2,D2 R U L' U' L' D2,R' U2 R U2 R' U2 R,L U L U' L2 U L',B U' F' U B' U' F,U' L R U2 R' U' R U2 L' U R' U',51
F' D' F' U' R' D2 R2 L D B2 R' F2 L2 U2 D F U2 L2 D' L U D B F' D,x2,R B U B L2 F',L R D2 R D2 L',U' R U2 R' U' R U2 R',R2 U2 R D' R U' R' D,L R D2 R D2 U2 L',U' F' L' B' L F L' B L,U L' U2 L F R U' R' U' F' U' L F' L' F U,60
L B2 L F B' L D B D' F D L F2 L' U' F R2 F2 L' B D F B' D2 U2,x2,D R2 D L' B' D F,L D2 L2 U2 R D2,U L R2 U' L' R',L' U R' U' L U2 R,U L U2 L' U2 L U' L',U B' U2 F' B U L2 U L2 U' L2 F,U L' R' U2 L R F U' B U2 F' U B' U,60
U' D R2 D R F L F R2 U B2 D F' U2 B' L2 U D' B R' D R B2,x2,D' B' R F U' B,U2 R U' L2 R',R U2 R U R' U R U2 R2,U2 R' U2 R U' R,,B U' F' U B' U' F,B2 R U' L U2 R' U L' R2 B2 R2 U B2,46
U2 D' B U2 L2 F' R L2 F B' D2 R' F' L' D2 B U' B' U' D2 L' B2 R' U,x2,L B D R' B,U2 L' U2 R' U L R,U2 R' D2 U2 R' D2,R' U R,U2 L' U L' U' L2,F' U2 F2 U F2 U F2 U2 F',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2,50
L' U2 D R' B' U R2 F2 R' L2 U2 L' F2 U D2 L U L2 F' D2 L F' R2 B2,x2,U' R2 F L' B D B2,U L' U2 L,R U' R' U2 R U R',U' L2 R U2 R,U' L' U' L2,F2 D' B L2 B' D F U2 F,L' B R' U2 L F' L R2 D2 R2 F L' R,49
R2 B2 R D' F' B' R2 D' U' L' F D' U2 B' L' F' D2 L' B L' B' U D,x2,D' L2 R' F' D' B' F,R D2 R' U' R D2 R',L' U' L U2 L' U2 L R',L2 U R' U' L2 R,R' D2 L2 R D2,B' U' B U' B' U2 B,U2 L R U2 R' U' R U2 L' U R' U,52
U2 B L' R2 F2 B' R2 B L' D B' D' U L' F2 R F L' R B F2 L,x2,R' D' F R2 D' B' F,U2 L' R2 U L U' R2,R2 D2 U2 L' D2,R' U2 R,L2 U L' U' L',U' F' L' B' L F L' B L,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,52
R' U F2 B R U' F2 L' B F D2 R' U L2 D R F' L' B2 D2,x2,D2 R U B' F',R' U2 L U' L,U R U2 R U R2,U2 R' U2 R U2 R' U' R,U L R' U2 R U' L',U R' F' R B' R' F R B,U2 L2 U F' B L2 F B' U L2 U' U,52
L2 B' F R2 L2 D' F2 R L D R B' D' L2 U B F' U' L R B',x2,F2 U B R F' D B',U2 L' D2 U2 R' D2 L',R U R',U R' U' R2 U R2,U' L U L',F' L' B' L F L' B L,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,51
F2 B' L' D' F B L' B2 F2 R U2 B2 R U2 B D2 F' R U B2 D,x2,U2 F2 R' D L2 F',L2 U' L,L' D2 U R2 U2 L' R' D2,L D2 L' U' L D2 L',U L U2 R' U2 L' R,U' R' F' R B' R' F R B,B2 D F2 D R2 F D B' D2 F D' B' U' U2,54
U2 D2 L2 F' L U' D2 B2 F2 U' D2 R F D F D' F L' D U2,x2,R D' F2 L' D' F',U L U' L,L D2 U R' U2 L' D2,L2 U L R' U R,L2 D' R D L2 D' R' D,U2 F' U2 F2 U F2 U F2 U2 F',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,56
R D' L2 B' R' L2 U R U R' L2 B2 U F2 D F2 B L2 F' B2 U,x2,U B2 R F' D' R2 B',R2 U' L2 U' L,L U2 L' R',L' D L U2 L' D' L,U L U' L',U' F2 D' B L2 B' D F U2 F,L R U2 R' U' R U2 L' U R' U,48
F R' L D L R D' U' L' F2 R L D U' R U2 B F2 R L' F2 D,x2,R' F' U R B' D2,U2 R' U' L2 R,L2 D2 L' R2 D2 R,R' U' R U R' U2 R,R' D2 U' L R U' L' R' D2 R,U F2 D' B L2 B' D F U2 F,U L U' F R' F' L' F R F' U' L U2 L',58
F D B2 D2 B U' B R L B' F U R2 U' L2 R U R' F' R' L B R' U R',x2,B2 F' R' F D' R2 B',U R U' L' R U2 L,L R U R' U L' R',L D2 L' U2 L D2 L',,U' R' F' R B' R' F R B,F' L F L' R' F L R' F L' F' R2 U',50
U' F2 R' D2 U B F' U B L B' L2 D' F D' L2 B2 L R' B2 R' D2 U,x2,B' F D L' R B',R U' L' U R' U L,R' D2 R D2,L' U' L R' U2 R,L U L2 U' L',U' R' F' R B' R' F R B,U2 L U' F R' F' L' F R F' U' L U2 L' U',52
U2 B' U D B R F' U D2 L U L' D2 B' U F R' U' F R' D' F2 D' R B2,x2,R' D U F L B,L2 U' L' U' L,R U' R U2 R',R' U' R,L U2 R U' L',U2 F2 D' B L2 B' D F U2 F,U U' F2 D' L2 U L2 F2 D R2 U' R2 U,47
R' F2 U2 R F R' D2 R2 U D R2 U R B D2 L' U' D R' L' F U',x2,F L' B' D' R' B',U L2 D' L U' L' D L2,R2 D2 U' L' R' D2,R' U2 R,U' L2 U2 L' U' L',U2 F' L' B' L F L' B L,U' L R U2 R' U' R U2 L' U R' U2,50
L2 D' B U2 D2 F' R2 U2 R2 D U2 L' D' F' D' R' L' F2 U2 R' F2 D' R' F' B',x2,L D F' D R' B',D' R' U' R D L2,U2 L U R' U R',L' D L U2 L' D' L,U2 L U' L',B U' F' U B' U' F,R' U L' U R U2 F R B2 R' F' B2 U L U2,51
F B D2 R B2 D' F' L' D2 R2 L' U' F B L U' B F' U2 B' U2 D B2 D2,x2,R2 D L' B F R' B',L' U' R U L,U2 R U2 R',R' U R,R2 D2 L U R' D2,F' U2 F2 U F2 U F2 U2 F',U2 L' U2 L F R U' R' U' F' U' L F' L' F U2,50
L' D L U' R2 B' L F2 L' D B' L D F' D' F2 B2 R U' D',x2,U B D2 L' R B' D,L' U2 L,L U2 L' U' R',U2 L R' U2 L U2 R,L U' L U L2 U' L2,U B' U2 F' B U L2 U L2 U' L2 F,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U2,56
B' F U' B F2 D2 F' L2 R' F' R U F2 L F2 U' R F' U L2 R F L,x2,B' F D R U' B' F,R' U' L' R U' L2,U2 R U2 R',R' U2 R U R2,D2 R U' R' D2,F U2 F' U' F U' F',U' L' B R' U2 L F' L R2 D2 R2 F L' R U',49
L' F R' U L F2 U R U L B2 F2 L2 F' R2 D2 L B D2 L',x2,B2 R' F' U R B' D2,L2 R2 U L,L D R' U2 R D' L' U R2,R' U R U R' U' R,D' U R' U2 R D,U2 R' F' R B' R' F R B,U' L U' F R' F' L' F R F' U' L U2 L',56
U F B2 L2 D' F2 L F2 B' U' D' F' U D R' B2 R D B' U' F L,x2,R' D' B' D B,U' L U L U' L2 U L2,U2 L2 R' U L' U2 R',L2 U L R' U R,U R' U L2 U' R U L2,F U' B' U F' U' B,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,55
L2 R' D' B R F' B' R' F2 R2 L2 U D R U2 B2 F L' F' L U,x2,R' F U' R B' D2,R' U2 L' R U L,L' D2 L' R2 D2 R,L' D' R' U R D U' L,U2 R' U' L' R,R U R' U R U2 R',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,53
D2 U' L' U2 L2 B2 U D2 F' L' B2 L R' D2 U' B U B D2 R2 U',x2,F' D2 B R D' B' F,U L' U2 L,L' U L R U R',R U2 R' U R2,D2 R' U2 L R' D2,B' U2 B U B' U B,U2 R2 B2 R F R' B2 R F' R U2 U,47
R2 L' F' B' L2 B' L' U' B D2 U2 B F' U' L F D' B' D' R' U2 R',x2,B2 F L D R' B,L R U' R' U2 L2,L R U2 L' U' R',U' R' D2 L' U2 R D2,,U F' U2 F2 U F2 U F2 U2 F',,35
L2 U' L2 D2 L2 D' R2 D' L' U R' B F U2 D F U2 B F R' L2 B2 U2 F' U',x2,U2 F R2 U' B' F2,U2 R U L,L U' R U L' U2 R',R2 U2 R' U' R U' R,D2 U2 R U R' D2,U' F2 D' B L2 B' D F U2 F,F2 U' L R' F2 L' R U' F2 U2 U2,51
U2 R2 D2 L2 R2 B' F' R2 B2 F2 U L2 R2 D' F' L' U' L2 R2 F' U' R U',x2,R' F D' L B',D' L' U2 L2 U' L' D,R U2 R',U' R' U L U' R2,,U2 R' F' R B' R' F R B,U' F2 U' L R' F2 L' R U' F2 U2 U,42
L' D' R2 F2 L2 B2 U2 L2 B R' D R F R2 F2 D B U B2 L',x2,D' B' F2 L' R2 D B',L' U2 L U2 L' U' L,L' D2 R' D2 L U2 R',U' L2 R' U R,L2 U L',U F' U2 F2 U F2 U F2 U2 F',U R2 B2 R F R' B2 R F' R U2 U',51
D' U R B' D2 F L2 U2 R2 L' U' L' U B' D R2 D2 R2 D B',x2,F L B U2 R2 D' B',R D2 R' U R D2 R',R' U' L' U' R',U' L U' L2 R' U R,L2 U L U L U L',U2 F' U2 F2 U F2 U F2 U2 F',R2 B2 R F R' B2 R F' R U2 U2,54
F2 B R2 L F L D2 F' B2 U L' B' U F2 D U B L2 F' L D L' R D2 R2,x2,B' L U' B' L D',U R' U' L2,R U R',U L U' L' U2 R2,R' D2 U L U' L' D2 R,U F' L' B' L F L' B L,B2 D F2 D R2 F D B' D2 F D' B' U' U,50
F2 D2 U2 R' B' L' B U2 F2 L2 U L' F U L' U' B2 L R D U2 F B' D' B',x2,F2 L' D' R' B' D F,R' D R U2 R' D' R,U R' U2 R2 U R2 U R,U' R U' R2 U2 R2,U' L',U R' F' R B' R' F R B,U U' B2 D' F2 D' L2 F' D' B D2 F' D B,53
R F2 U2 D2 F2 U2 F2 R' F' U' L U2 L2 R2 U L2 U2 D' B2 F2 L2 B2,x2,R2 D U L2 R' F,L' D2 R2 D2 U' L2,R U2 R' U' R U2 R',R,U2 L' D2 R' D2 L,B U' F' U B' U' F,U2 L U' F R' F' L' F R F' U' L U2 L' U',48
U2 F2 D2 F' D2 F2 R D' U' R' D2 L2 F D L' U2 D B D F' U B U' L2 U,x2,R2 B' L R F',D R U R' D',R' D' R U2 R' D R,D2 L' D2,L2 U2 L U L2,F U2 F' U' F U' F',L R U2 R' U' R U2 L' U R' U2,43
L2 F L2 U B' U F B U2 R2 D R2 U' D2 L F D2 U B' D L' U',x2,D' B D' L U' F',L U L R' U' L2 R,D2 L' U L R2 D2 R,U' L R' U2 L' R,L U' L' U' L U L',R' U' R U' R' U2 R,U F' L F L' R' F L R' F L' F' R2 U,54
B2 F D' R L2 B' U L2 R2 B R L2 B L2 D' L2 F R' B2 R F2 L2 B2 F,x2,U2 L D L R' B' D,D2 L' D2 L',L U2 R' U L' R' U2 R',D U L U' L' D',L' U2 L2 U L2 U L,U' R' F' R B' R' F R B,U2 B' R B' L2 B R' B' L2 B2,51
D' U R F2 D' R' L' U2 R' B' R L B2 F' U2 F' U2 R U F' U' B D,x2,L2 D' R' U B' D F',U' L,U' R U R' U R',L D2 R' U' R D2 U L',R U' L U R' U2 L',F U2 F' U' F U' F',U L' B R' U2 L F' L R2 D2 R2 F L' R U2,52
L2 R2 B' R U2 F2 D2 B2 F D F2 L2 F' U2 F D' F' D L' D B' U L2 R',x2,B' R2 B2 U B',U' R2 U' L' U' L,L2 R' U' R' U L2,U2 R2 U2 R U R' U R2,U' R' U' L R U' L',B' U' B U' B' U2 B,U L' B R' U2 L F' L R2 D2 R2 F L' R U,54
F' U B' L' R2 U2 B' F' U D L U B D' F' R2 U' R2 D' F' D2 B R L' U,x2,D2 B' D R B,D2 R D2 R U2 L2,L D' L' U L D L',U' R U R2,L R' U' R2 U' L',U2 R' F' R B' R' F R B,U2 R' U L' U R U2 F R B2 R' F' B2 U L U2,53
D2 F' R2 L2 D L' B' R' B' U2 B' R' U2 L2 R' D2 L2 D2 L' D' F L' B' L2,x2,L' F U2 L' B' D' F2,U' R' U L' U' L R,U2 R U' R2 U R',U2 L' U L R' U R,U2 L' R2 U R' U2 L',U2 R' F' R B' R' F R B,L U' F R' F' L' F R F' U' L U2 L' U2,57
B L2 R2 U F2 U' F' L' U F' R' U2 F' U' L2 R' F' U' F2 L R,x2,D L' B F' R2 D B',L' U2 L R' D R U' R' D' R,R' D' L' U' L D R',D2 U L' U' L D2,L U2 L U2 L2 U' L2,U R' F' R B' R' F R B,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,61
U D F B L2 R' B F D B' D' L2 U2 D' R2 B L2 U F L2 R' F B' R2,x2,B2 U' L' F D R B',L2 U R' U' R U' L2,U R' U' R',U R' U' R U' R' U' R,L U R' U R U' L',F' U2 F2 U F2 U F2 U2 F',U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,58
B D L2 D2 U B2 U2 B2 R' U' F' B L F U2 R2 F U' R' L2,x2,U2 B L2 B L' D,R D2 R' U2 R D2 R',U2 L' R U2 L R',U L' U R' D2 L' D2,U2 R U2 L U2 R' U L2,U' R' F' R B' R' F R B,U' L U' F R' F' L' F R F' U' L U2 L' U',58
R2 L B' R2 U' B2 L2 R' U' B U L' B D' U' R2 F' B2 R' F2 B2 R2 B2 R2 L',x2,L B2 U2 L2 B' R' D,L' U' L U L2,U L2 R U R2,L U' L' U2 R' U' R,L U' L' U L U' L',R' F' R B' R' F R B,U B2 D F2 D R2 F D B' D2 F D' B' U',53
L2 U L' U B F2 U L D' U' B R' F2 D2 F U2 B' R B' L F' L2 R' B' R2,x2,L D2 F' D' R' D',U2 L' U2 L U L' U2 L,L2 D2 U R2 U' L' D2 L',U L' U2 L R' U2 R,D2 L' D2 R2 U2 L',R U R' U R U2 R',L' R' U2 L R F U' B U2 F' U B' U',55
B D2 B R2 B L R U2 B U' B' U2 L' R U' B' L' D' B2 U,x2,D U' R' D' R' F,L2 D' L U' L' D L2,U L' U' L U2 R2,U R' U' R,R2 D2 L' D2 R2,U2 F2 D' B L2 B' D F U2 F,U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,53
D2 R2 F R D L B' D B2 L R' U' L' B2 L2 B2 R' B' R F2 U F' B' L2 R2,x2,B2 F' U' L R' F,L U2 L' U L' U' L2,U' L U' R U L' R',U2 L D2 U L D2,,F' U B U' F U B',U' B' R B' L2 B R' B' L2 B2,43
U' D B2 R2 L B' F D' B2 U' F' D' U2 F U D2 L' B' U B2 D' F' L,x2,D' B R2 F U B',L' U2 R' U' R2 U' L2,R U R' U2 L U2 L' R2,,L R' U' L' R,U F2 D' B L2 B' D F U2 F,F2 L2 U' L2 D F2 D' F2 U F2 U,47
B' D2 B L2 U' F' U' L2 U F B2 L' B U' R2 B2 D' R2 U F R B,x2,B F R' B' U' F',U2 L2 U' L,L' R U' R',R U2 L' U' R2,U' L U L',B' U2 F' B U L2 U L2 U' L2 F,L' U2 L F R U' R' U' F' U' L F' L' F U2,49
U B' U2 F' B R F' L' U2 R2 U2 B' F D2 R B' U' D2 B' F,x2,U B F L D' F',D2 L' R D2 L',L2 D2 R2 D2 L2,U' R' U2 R U R' U' R,L U R U' L',U F2 D' B L2 B' D F U2 F,R2 F2 D2 L2 F' B' D2 R2 F' B',49
