scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
U R2 D' R2 U L D U B' D B2 D2 B U2 F' R U R' L U2 L' U2,x2,D' F R2 D' B' L2 R B2 F',U' l2 U2 L' U l2 U' L2,l2 U2 L' U' L U' l2,U2 L2 F2 R' D' R F2 L' U L' U,,M2 U' M' U2 M U M' U2 M',44
F' D2 U' L2 U' F' D' L2 R' F U' F D2 L2 U D' R D2 B' L R2 F',x2,B' L D R' B' F D' B2 D' B',L2 U l2 U' l2,U2 L U l' U2 l U' L',U L U' F D' F U' F' D F' U L',,U' M U' M' U' M' U' M U' M U M',47
R' D' R U L' F' L' F' B D2 R B U R2 L B R' L' B' F' D',x2,D' L D' L R D B2 U' R2 F,l2 U2 L' U l U2 l,U L U L' U2 L U L',U2 L' F U2 F' B' U' F U B U2 F' L U2,,M U2 M' U2 M2 U M2 U',47
D' R2 D' B L F B2 U' L2 B L2 R2 D2 F U' F L' R D' B2 R' U,x2,B' D2 U' L' F' R D' U' R',L2 U2 l2 U' l2 U L,L U' l2 L2 U l2 L,U R U R' U R2 F2 R' U2 R F2 R2 U U2,,U' M' U2 M' U M2 U2,44
F D2 B U' B' L' F2 R L U2 B' R' F R L B' D' L2 B2 U F2 R L U2 L2,x2,L U2 F D2 L D L R D,U' l2 L2 U l2 U L,l2 U2 L' U' L U' l2,U L F2 R' D R F2 L2 U L U',,M2 U2 M U2 M' U M2 U M U2 M',45
D2 B' F' R U B2 R' U2 R D F' B2 U F2 B' L D U F' B D R D U B',x2,R' D' F L' B R2 U2 L2 D,L2 U' l2 L2 U' l2 U L,U l2 U2 L' U' L U' l2,U F U2 F' U2 B' R2 F' R2 B U',,M U2 M' U M U2 M U M2 U2,46
U D2 B' D2 R2 F' U D' L U L F U' F2 B' R2 D' B' L2 U2 F2 B,x2,F2 U2 R' D' U R D F' R B',l2 U' L U' L' U l2,,U L' B' R' B L B' R B,,M U2 M' U M U2 M' U',34
D' B2 F' R' F U L' D' L R' B R' B2 R2 B' U' D L R2 B',x2,D' F L' U2 B' D R2 D2 B,L2 U2 L2 U L U' L,l2 L2 U2 l2 L' U L',B U' F' U B' U' F,,M2 U M U2 M' U M2,37
L' R2 U B D2 B2 U' F' U F R' L2 D' L U L U2 B F2 L' F',x2,L D' U' L D2 F' R2 B' D F,l U2 l U L' U l2,l' L U2 l U L',U F R' U2 R F' R' F U2 F' R U2 U2,,U M' U2 M2 U2 M' U',43
U' F' U' B2 L2 F2 R' B' R2 U' B' L' B2 F2 U2 F U' B2 U R D,x2,D2 B2 R D2 B' L' D B F D2,U2 L' U L U L2,L U l2 L2 U l2 L,U R2 D' L F2 L' D R U2 R U2,,M U2 M' U' M2 U' M2,41
